"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","tydz","data"
"Dolnośląskie",28,0.55,0,0,28,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Kujawsko-Pomorskie",33,0.66,0,0,33,100,1,3,"2020_01A","1_do_7_stycznia_2020"
"Lubelskie",12,0.4,0,0,12,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Lubuskie",8,0.9,0,0,8,100,4,50,"2020_01A","1_do_7_stycznia_2020"
"Łódzkie",7,0.19,0,0,7,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Małopolskie",22,0.25,0,0,18,81.8,4,18.2,"2020_01A","1_do_7_stycznia_2020"
"Mazowieckie",56,0.32,2,3.6,53,94.6,2,3.6,"2020_01A","1_do_7_stycznia_2020"
"Opolskie",3,0.36,0,0,3,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Podkarpackie",5,0.32,0,0,5,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Podlaskie",5,0.37,0,0,5,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Pomorskie",59,0.42,3,5.1,59,100,9,15.3,"2020_01A","1_do_7_stycznia_2020"
"Śląskie",27,0.35,5,18.5,27,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Świętokrzyskie",2,0.14,0,0,2,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Warmińsko-Mazurskie",8,0.52,0,0,8,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Wielkopolskie",101,0.72,0,0,101,100,1,1,"2020_01A","1_do_7_stycznia_2020"
"Zachodniopomorskie",17,0.7,0,0,17,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Dolnośląskie",29,0.44,0,0,27,93.1,5,17.2,"2020_01B","8_do_15_stycznia_2020"
"Kujawsko-Pomorskie",38,0.53,0,0,38,100,1,2.6,"2020_01B","8_do_15_stycznia_2020"
"Lubelskie",25,0.55,0,0,25,100,0,0,"2020_01B","8_do_15_stycznia_2020"
"Lubuskie",8,0.62,0,0,7,87.5,1,12.5,"2020_01B","8_do_15_stycznia_2020"
"Łódzkie",27,0.52,0,0,27,100,0,0,"2020_01B","8_do_15_stycznia_2020"
"Małopolskie",55,0.39,0,0,47,85.5,12,21.8,"2020_01B","8_do_15_stycznia_2020"
"Mazowieckie",64,0.33,11,17.2,52,81.3,2,3.1,"2020_01B","8_do_15_stycznia_2020"
"Opolskie",2,0.16,0,0,2,100,0,0,"2020_01B","8_do_15_stycznia_2020"
"Podkarpackie",19,0.65,2,10.5,17,89.5,1,5.3,"2020_01B","8_do_15_stycznia_2020"
"Podlaskie",7,0.27,0,0,7,100,0,0,"2020_01B","8_do_15_stycznia_2020"
"Pomorskie",65,0.34,7,10.8,61,93.8,5,7.7,"2020_01B","8_do_15_stycznia_2020"
"Śląskie",26,0.28,1,3.8,26,100,0,0,"2020_01B","8_do_15_stycznia_2020"
"Świętokrzyskie",5,0.17,1,20,4,80,0,0,"2020_01B","8_do_15_stycznia_2020"
"Warmińsko-Mazurskie",15,0.69,0,0,15,100,0,0,"2020_01B","8_do_15_stycznia_2020"
"Wielkopolskie",94,0.44,2,2.1,89,94.7,5,5.3,"2020_01B","8_do_15_stycznia_2020"
"Zachodniopomorskie",19,0.87,0,0,19,100,1,5.3,"2020_01B","8_do_15_stycznia_2020"
"Dolnośląskie",47,0.58,1,2.1,46,97.9,1,2.1,"2020_01C","16_do_22_stycznia_2020"
"Kujawsko-Pomorskie",48,0.66,0,0,40,83.3,8,16.7,"2020_01C","16_do_22_stycznia_2020"
"Lubelskie",37,1.03,0,0,37,100,1,2.7,"2020_01C","16_do_22_stycznia_2020"
"Lubuskie",3,0.21,0,0,3,100,2,66.7,"2020_01C","16_do_22_stycznia_2020"
"Łódzkie",19,0.37,0,0,19,100,0,0,"2020_01C","16_do_22_stycznia_2020"
"Małopolskie",67,0.4,1,1.5,42,62.7,31,46.3,"2020_01C","16_do_22_stycznia_2020"
"Mazowieckie",59,0.27,6,10.2,47,79.7,6,10.2,"2020_01C","16_do_22_stycznia_2020"
"Opolskie",1,0.07,0,0,1,100,0,0,"2020_01C","16_do_22_stycznia_2020"
"Podkarpackie",19,0.81,1,5.3,19,100,0,0,"2020_01C","16_do_22_stycznia_2020"
"Podlaskie",11,0.54,0,0,11,100,0,0,"2020_01C","16_do_22_stycznia_2020"
"Pomorskie",84,0.46,2,2.4,81,96.4,25,29.8,"2020_01C","16_do_22_stycznia_2020"
"Śląskie",43,0.42,1,2.3,43,100,0,0,"2020_01C","16_do_22_stycznia_2020"
"Świętokrzyskie",5,0.14,0,0,5,100,0,0,"2020_01C","16_do_22_stycznia_2020"
"Warmińsko-Mazurskie",24,1.06,1,4.2,23,95.8,0,0,"2020_01C","16_do_22_stycznia_2020"
"Wielkopolskie",123,0.56,1,0.8,114,92.7,10,8.1,"2020_01C","16_do_22_stycznia_2020"
"Zachodniopomorskie",25,1.14,3,12,21,84,1,4,"2020_01C","16_do_22_stycznia_2020"
"Dolnośląskie",99,0.66,0,0,99,100,4,4,"2020_01D","23_do_31_stycznia_2020"
"Kujawsko-Pomorskie",119,0.8,4,3.4,118,99.2,10,8.4,"2020_01D","23_do_31_stycznia_2020"
"Lubelskie",42,0.74,0,0,42,100,2,4.8,"2020_01D","23_do_31_stycznia_2020"
"Lubuskie",3,0.15,0,0,3,100,2,66.7,"2020_01D","23_do_31_stycznia_2020"
"Łódzkie",36,0.49,1,2.8,36,100,0,0,"2020_01D","23_do_31_stycznia_2020"
"Małopolskie",303,0.92,9,3,222,73.3,95,31.4,"2020_01D","23_do_31_stycznia_2020"
"Mazowieckie",102,0.31,2,2,88,86.3,12,11.8,"2020_01D","23_do_31_stycznia_2020"
"Opolskie",2,0.08,0,0,2,100,0,0,"2020_01D","23_do_31_stycznia_2020"
"Podkarpackie",64,1.99,7,10.9,24,37.5,33,51.6,"2020_01D","23_do_31_stycznia_2020"
"Podlaskie",42,1.08,1,2.4,42,100,1,2.4,"2020_01D","23_do_31_stycznia_2020"
"Pomorskie",67,0.28,6,9,67,100,0,0,"2020_01D","23_do_31_stycznia_2020"
"Śląskie",73,0.52,5,6.8,69,94.5,3,4.1,"2020_01D","23_do_31_stycznia_2020"
"Świętokrzyskie",28,0.87,0,0,27,96.4,2,7.1,"2020_01D","23_do_31_stycznia_2020"
"Warmińsko-Mazurskie",32,0.9,0,0,32,100,0,0,"2020_01D","23_do_31_stycznia_2020"
"Wielkopolskie",224,0.63,4,1.8,218,97.3,34,15.2,"2020_01D","23_do_31_stycznia_2020"
"Zachodniopomorskie",50,1.4,0,0,48,96,10,20,"2020_01D","23_do_31_stycznia_2020"
"Dolnośląskie",111,0.71,1,0.9,109,98.2,11,9.9,"2020_02A","1_do_7_lutego_2020"
"Kujawsko-Pomorskie",67,0.67,7,10.4,55,82.1,8,11.9,"2020_02A","1_do_7_lutego_2020"
"Lubelskie",84,1,0,0,84,100,5,6,"2020_02A","1_do_7_lutego_2020"
"Lubuskie",13,0.76,0,0,13,100,2,15.4,"2020_02A","1_do_7_lutego_2020"
"Łódzkie",51,0.46,0,0,51,100,0,0,"2020_02A","1_do_7_lutego_2020"
"Małopolskie",142,0.69,11,7.7,124,87.3,33,23.2,"2020_02A","1_do_7_lutego_2020"
"Mazowieckie",133,0.31,0,0,123,92.5,11,8.3,"2020_02A","1_do_7_lutego_2020"
"Opolskie",1,0.05,0,0,1,100,0,0,"2020_02A","1_do_7_lutego_2020"
"Podkarpackie",21,0.53,0,0,21,100,0,0,"2020_02A","1_do_7_lutego_2020"
"Podlaskie",22,0.75,0,0,22,100,0,0,"2020_02A","1_do_7_lutego_2020"
"Pomorskie",51,0.22,0,0,48,94.1,11,21.6,"2020_02A","1_do_7_lutego_2020"
"Śląskie",71,0.51,5,7,69,97.2,0,0,"2020_02A","1_do_7_lutego_2020"
"Świętokrzyskie",83,2.22,0,0,83,100,0,0,"2020_02A","1_do_7_lutego_2020"
"Warmińsko-Mazurskie",22,0.79,0,0,22,100,0,0,"2020_02A","1_do_7_lutego_2020"
"Wielkopolskie",162,0.61,4,2.5,155,95.7,13,8,"2020_02A","1_do_7_lutego_2020"
"Zachodniopomorskie",69,1.76,1,1.4,64,92.8,20,29,"2020_02A","1_do_7_lutego_2020"
"Dolnośląskie",98,0.82,2,2,96,98,4,4.1,"2020_02B","8_do_15_lutego_2020"
"Kujawsko-Pomorskie",73,0.81,11,15.1,61,83.6,5,6.8,"2020_02B","8_do_15_lutego_2020"
"Lubelskie",181,1.59,0,0,175,96.7,22,12.2,"2020_02B","8_do_15_lutego_2020"
"Lubuskie",12,0.77,0,0,12,100,0,0,"2020_02B","8_do_15_lutego_2020"
"Łódzkie",53,0.45,9,17,42,79.2,2,3.8,"2020_02B","8_do_15_lutego_2020"
"Małopolskie",123,0.63,1,0.8,83,67.5,59,48,"2020_02B","8_do_15_lutego_2020"
"Mazowieckie",210,0.57,3,1.4,201,95.7,8,3.8,"2020_02B","8_do_15_lutego_2020"
"Opolskie",9,0.38,0,0,8,88.9,1,11.1,"2020_02B","8_do_15_lutego_2020"
"Podkarpackie",62,1.38,7,11.3,35,56.5,27,43.5,"2020_02B","8_do_15_lutego_2020"
"Podlaskie",21,0.59,0,0,21,100,1,4.8,"2020_02B","8_do_15_lutego_2020"
"Pomorskie",125,0.42,12,9.6,111,88.8,12,9.6,"2020_02B","8_do_15_lutego_2020"
"Śląskie",78,0.39,7,9,78,100,0,0,"2020_02B","8_do_15_lutego_2020"
"Świętokrzyskie",82,1.72,1,1.2,81,98.8,8,9.8,"2020_02B","8_do_15_lutego_2020"
"Warmińsko-Mazurskie",19,0.44,0,0,19,100,0,0,"2020_02B","8_do_15_lutego_2020"
"Wielkopolskie",136,0.54,3,2.2,131,96.3,8,5.9,"2020_02B","8_do_15_lutego_2020"
"Zachodniopomorskie",43,1.02,0,0,43,100,18,41.9,"2020_02B","8_do_15_lutego_2020"
"Dolnośląskie",84,0.88,1,1.2,83,98.8,2,2.4,"2020_02C","16_do_22_lutego_2020"
"Kujawsko-Pomorskie",83,0.83,5,6,75,90.4,7,8.4,"2020_02C","16_do_22_lutego_2020"
"Lubelskie",177,1.26,1,0.6,168,94.9,18,10.2,"2020_02C","16_do_22_lutego_2020"
"Lubuskie",12,0.64,0,0,12,100,0,0,"2020_02C","16_do_22_lutego_2020"
"Łódzkie",87,0.55,1,1.1,80,92,6,6.9,"2020_02C","16_do_22_lutego_2020"
"Małopolskie",126,0.75,0,0,95,75.4,37,29.4,"2020_02C","16_do_22_lutego_2020"
"Mazowieckie",356,0.99,15,4.2,339,95.2,3,0.8,"2020_02C","16_do_22_lutego_2020"
"Opolskie",3,0.14,0,0,3,100,1,33.3,"2020_02C","16_do_22_lutego_2020"
"Podkarpackie",69,1.05,3,4.3,39,56.5,29,42,"2020_02C","16_do_22_lutego_2020"
"Podlaskie",61,1.17,1,1.6,61,100,2,3.3,"2020_02C","16_do_22_lutego_2020"
"Pomorskie",119,0.35,4,3.4,118,99.2,19,16,"2020_02C","16_do_22_lutego_2020"
"Śląskie",111,0.47,3,2.7,104,93.7,14,12.6,"2020_02C","16_do_22_lutego_2020"
"Świętokrzyskie",53,1.49,0,0,52,98.1,1,1.9,"2020_02C","16_do_22_lutego_2020"
"Warmińsko-Mazurskie",44,0.77,0,0,44,100,0,0,"2020_02C","16_do_22_lutego_2020"
"Wielkopolskie",149,0.6,2,1.3,145,97.3,13,8.7,"2020_02C","16_do_22_lutego_2020"
"Zachodniopomorskie",48,1.69,0,0,47,97.9,35,72.9,"2020_02C","16_do_22_lutego_2020"
"Dolnośląskie",49,0.47,1,2,49,100,4,8.2,"2020_02D","23_do_29_lutego_2020"
"Kujawsko-Pomorskie",105,0.83,3,2.9,99,94.3,12,11.4,"2020_02D","23_do_29_lutego_2020"
"Lubelskie",150,1.14,3,2,147,98,6,4,"2020_02D","23_do_29_lutego_2020"
"Lubuskie",11,0.47,0,0,10,90.9,1,9.1,"2020_02D","23_do_29_lutego_2020"
"Łódzkie",97,0.59,0,0,96,99,1,1,"2020_02D","23_do_29_lutego_2020"
"Małopolskie",114,0.62,2,1.8,67,58.8,54,47.4,"2020_02D","23_do_29_lutego_2020"
"Mazowieckie",229,0.8,3,1.3,207,90.4,21,9.2,"2020_02D","23_do_29_lutego_2020"
"Opolskie",2,0.13,0,0,2,100,0,0,"2020_02D","23_do_29_lutego_2020"
"Podkarpackie",79,1.18,1,1.3,55,69.6,26,32.9,"2020_02D","23_do_29_lutego_2020"
"Podlaskie",59,0.75,0,0,57,96.6,4,6.8,"2020_02D","23_do_29_lutego_2020"
"Pomorskie",145,0.44,10,6.9,128,88.3,30,20.7,"2020_02D","23_do_29_lutego_2020"
"Śląskie",135,0.63,2,1.5,132,97.8,4,3,"2020_02D","23_do_29_lutego_2020"
"Świętokrzyskie",130,3.29,1,0.8,123,94.6,17,13.1,"2020_02D","23_do_29_lutego_2020"
"Warmińsko-Mazurskie",67,0.85,0,0,67,100,0,0,"2020_02D","23_do_29_lutego_2020"
"Wielkopolskie",162,0.57,2,1.2,155,95.7,8,4.9,"2020_02D","23_do_29_lutego_2020"
"Zachodniopomorskie",52,1.81,0,0,50,96.2,35,67.3,"2020_02D","23_do_29_lutego_2020"
"Dolnośląskie",66,0.64,2,3,63,95.5,3,4.5,"2020_03A","1_do_7_marca_2020"
"Kujawsko-Pomorskie",95,0.76,4,4.2,81,85.3,32,33.7,"2020_03A","1_do_7_marca_2020"
"Lubelskie",124,1.11,0,0,122,98.4,17,13.7,"2020_03A","1_do_7_marca_2020"
"Lubuskie",19,0.64,1,5.3,15,78.9,5,26.3,"2020_03A","1_do_7_marca_2020"
"Łódzkie",70,0.44,1,1.4,68,97.1,1,1.4,"2020_03A","1_do_7_marca_2020"
"Małopolskie",91,0.52,2,2.2,59,64.8,31,34.1,"2020_03A","1_do_7_marca_2020"
"Mazowieckie",195,0.8,1,0.5,190,97.4,4,2.1,"2020_03A","1_do_7_marca_2020"
"Opolskie",5,0.24,0,0,5,100,0,0,"2020_03A","1_do_7_marca_2020"
"Podkarpackie",155,1.97,0,0,124,80,51,32.9,"2020_03A","1_do_7_marca_2020"
"Podlaskie",73,1.15,0,0,73,100,4,5.5,"2020_03A","1_do_7_marca_2020"
"Pomorskie",150,0.46,0,0,139,92.7,27,18,"2020_03A","1_do_7_marca_2020"
"Śląskie",116,0.48,0,0,115,99.1,7,6,"2020_03A","1_do_7_marca_2020"
"Świętokrzyskie",46,1.13,0,0,45,97.8,8,17.4,"2020_03A","1_do_7_marca_2020"
"Warmińsko-Mazurskie",100,1.45,0,0,100,100,0,0,"2020_03A","1_do_7_marca_2020"
"Wielkopolskie",185,0.64,2,1.1,180,97.3,5,2.7,"2020_03A","1_do_7_marca_2020"
"Zachodniopomorskie",56,1.45,4,7.1,50,89.3,36,64.3,"2020_03A","1_do_7_marca_2020"
"Dolnośląskie",42,0.68,0,0,41,97.6,3,7.1,"2020_03B","8_do_15_marca_2020"
"Kujawsko-Pomorskie",52,0.55,11,21.2,37,71.2,11,21.2,"2020_03B","8_do_15_marca_2020"
"Lubelskie",146,2.45,0,0,146,100,5,3.4,"2020_03B","8_do_15_marca_2020"
"Lubuskie",19,0.84,0,0,19,100,4,21.1,"2020_03B","8_do_15_marca_2020"
"Łódzkie",36,0.43,0,0,35,97.2,1,2.8,"2020_03B","8_do_15_marca_2020"
"Małopolskie",59,0.44,1,1.7,24,40.7,34,57.6,"2020_03B","8_do_15_marca_2020"
"Mazowieckie",156,0.69,2,1.3,135,86.5,19,12.2,"2020_03B","8_do_15_marca_2020"
"Opolskie",3,0.17,0,0,3,100,0,0,"2020_03B","8_do_15_marca_2020"
"Podkarpackie",87,1.91,0,0,75,86.2,23,26.4,"2020_03B","8_do_15_marca_2020"
"Podlaskie",35,0.76,0,0,35,100,4,11.4,"2020_03B","8_do_15_marca_2020"
"Pomorskie",121,0.52,1,0.8,120,99.2,42,34.7,"2020_03B","8_do_15_marca_2020"
"Śląskie",107,0.66,0,0,107,100,8,7.5,"2020_03B","8_do_15_marca_2020"
"Świętokrzyskie",102,1.8,4,3.9,95,93.1,7,6.9,"2020_03B","8_do_15_marca_2020"
"Warmińsko-Mazurskie",71,1.24,0,0,71,100,0,0,"2020_03B","8_do_15_marca_2020"
"Wielkopolskie",93,0.37,3,3.2,86,92.5,5,5.4,"2020_03B","8_do_15_marca_2020"
"Zachodniopomorskie",99,2.84,0,0,92,92.9,74,74.7,"2020_03B","8_do_15_marca_2020"
"Dolnośląskie",15,0.28,0,0,15,100,0,0,"2020_03C","16_do_22_marca_2020"
"Kujawsko-Pomorskie",29,0.5,9,31,20,69,12,41.4,"2020_03C","16_do_22_marca_2020"
"Lubelskie",26,0.62,0,0,26,100,3,11.5,"2020_03C","16_do_22_marca_2020"
"Lubuskie",27,2.28,0,0,27,100,0,0,"2020_03C","16_do_22_marca_2020"
"Łódzkie",37,0.52,0,0,37,100,0,0,"2020_03C","16_do_22_marca_2020"
"Małopolskie",29,0.27,2,6.9,23,79.3,5,17.2,"2020_03C","16_do_22_marca_2020"
"Mazowieckie",53,0.34,5,9.4,48,90.6,0,0,"2020_03C","16_do_22_marca_2020"
"Opolskie",3,0.21,0,0,2,66.7,1,33.3,"2020_03C","16_do_22_marca_2020"
"Podkarpackie",47,1.74,1,2.1,36,76.6,11,23.4,"2020_03C","16_do_22_marca_2020"
"Podlaskie",23,0.94,0,0,23,100,0,0,"2020_03C","16_do_22_marca_2020"
"Pomorskie",16,0.1,0,0,16,100,0,0,"2020_03C","16_do_22_marca_2020"
"Śląskie",56,0.51,0,0,56,100,0,0,"2020_03C","16_do_22_marca_2020"
"Świętokrzyskie",8,0.74,1,12.5,6,75,1,12.5,"2020_03C","16_do_22_marca_2020"
"Warmińsko-Mazurskie",44,1.16,0,0,44,100,0,0,"2020_03C","16_do_22_marca_2020"
"Wielkopolskie",57,0.31,0,0,55,96.5,2,3.5,"2020_03C","16_do_22_marca_2020"
"Zachodniopomorskie",59,2,0,0,59,100,48,81.4,"2020_03C","16_do_22_marca_2020"
"Dolnośląskie",17,0.24,1,5.9,17,100,0,0,"2020_03D","23_do_31_marca_2020"
"Kujawsko-Pomorskie",9,0.17,1,11.1,7,77.8,1,11.1,"2020_03D","23_do_31_marca_2020"
"Lubelskie",45,1.42,0,0,45,100,0,0,"2020_03D","23_do_31_marca_2020"
"Lubuskie",52,5.89,0,0,44,84.6,9,17.3,"2020_03D","23_do_31_marca_2020"
"Łódzkie",12,0.27,0,0,11,91.7,1,8.3,"2020_03D","23_do_31_marca_2020"
