"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","tydz","data"
"Pomorskie",12,0.63,0,0,12,100,2,16.7,"2020_06D","23_do_30_czerwca_2020"
"Śląskie",1,0.09,0,0,1,100,0,0,"2020_06D","23_do_30_czerwca_2020"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2020_06D","23_do_30_czerwca_2020"
"Warmińsko-Mazurskie",23,11.5,0,0,23,100,0,0,"2020_06D","23_do_30_czerwca_2020"
"Wielkopolskie",9,0.58,0,0,9,100,0,0,"2020_06D","23_do_30_czerwca_2020"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2020_06D","23_do_30_czerwca_2020"
"Dolnośląskie",3,0.62,0,0,3,100,0,0,"2020_07A","1_do_7_lipca_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2020_07A","1_do_7_lipca_2020"
"Lubelskie",0,0,0,0,0,0,0,0,"2020_07A","1_do_7_lipca_2020"
"Lubuskie",0,0,0,0,0,0,0,0,"2020_07A","1_do_7_lipca_2020"
"Łódzkie",1,0.33,1,100,1,100,0,0,"2020_07A","1_do_7_lipca_2020"
"Małopolskie",1,0.26,0,0,1,100,0,0,"2020_07A","1_do_7_lipca_2020"
"Mazowieckie",9,0.54,1,11.1,8,88.9,0,0,"2020_07A","1_do_7_lipca_2020"
"Opolskie",0,0,0,0,0,0,0,0,"2020_07A","1_do_7_lipca_2020"
"Podkarpackie",1,12.5,0,0,1,100,0,0,"2020_07A","1_do_7_lipca_2020"
"Podlaskie",0,0,0,0,0,0,0,0,"2020_07A","1_do_7_lipca_2020"
"Pomorskie",30,1.53,8,26.7,30,100,1,3.3,"2020_07A","1_do_7_lipca_2020"
"Śląskie",1,0.11,0,0,1,100,0,0,"2020_07A","1_do_7_lipca_2020"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2020_07A","1_do_7_lipca_2020"
"Warmińsko-Mazurskie",7,6.67,0,0,7,100,0,0,"2020_07A","1_do_7_lipca_2020"
"Wielkopolskie",9,0.73,1,11.1,8,88.9,0,0,"2020_07A","1_do_7_lipca_2020"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2020_07A","1_do_7_lipca_2020"
"Dolnośląskie",4,0.63,0,0,4,100,0,0,"2020_07B","8_do_15_lipca_2020"
"Kujawsko-Pomorskie",2,0.31,0,0,2,100,0,0,"2020_07B","8_do_15_lipca_2020"
"Lubelskie",1,0.54,0,0,1,100,0,0,"2020_07B","8_do_15_lipca_2020"
"Lubuskie",0,0,0,0,0,0,0,0,"2020_07B","8_do_15_lipca_2020"
"Łódzkie",0,0,0,0,0,0,0,0,"2020_07B","8_do_15_lipca_2020"
"Małopolskie",2,0.31,0,0,2,100,0,0,"2020_07B","8_do_15_lipca_2020"
"Mazowieckie",2,0.12,0,0,2,100,0,0,"2020_07B","8_do_15_lipca_2020"
"Opolskie",0,0,0,0,0,0,0,0,"2020_07B","8_do_15_lipca_2020"
"Podkarpackie",0,0,0,0,0,0,0,0,"2020_07B","8_do_15_lipca_2020"
"Podlaskie",0,0,0,0,0,0,0,0,"2020_07B","8_do_15_lipca_2020"
"Pomorskie",17,0.7,0,0,17,100,0,0,"2020_07B","8_do_15_lipca_2020"
"Śląskie",1,0.09,0,0,1,100,0,0,"2020_07B","8_do_15_lipca_2020"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2020_07B","8_do_15_lipca_2020"
"Warmińsko-Mazurskie",9,7.63,0,0,9,100,0,0,"2020_07B","8_do_15_lipca_2020"
"Wielkopolskie",5,0.27,0,0,2,40,3,60,"2020_07B","8_do_15_lipca_2020"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2020_07B","8_do_15_lipca_2020"
"Dolnośląskie",0,0,0,0,0,0,0,0,"2020_07C","16_do_22_lipca_2020"
"Kujawsko-Pomorskie",1,0.15,0,0,1,100,0,0,"2020_07C","16_do_22_lipca_2020"
"Lubelskie",4,1.61,0,0,4,100,0,0,"2020_07C","16_do_22_lipca_2020"
"Lubuskie",0,0,0,0,0,0,0,0,"2020_07C","16_do_22_lipca_2020"
"Łódzkie",0,0,0,0,0,0,0,0,"2020_07C","16_do_22_lipca_2020"
"Małopolskie",4,0.82,0,0,2,50,2,50,"2020_07C","16_do_22_lipca_2020"
"Mazowieckie",9,0.43,6,66.7,3,33.3,0,0,"2020_07C","16_do_22_lipca_2020"
"Opolskie",0,0,0,0,0,0,0,0,"2020_07C","16_do_22_lipca_2020"
"Podkarpackie",0,0,0,0,0,0,0,0,"2020_07C","16_do_22_lipca_2020"
"Podlaskie",0,0,0,0,0,0,0,0,"2020_07C","16_do_22_lipca_2020"
"Pomorskie",18,0.7,0,0,18,100,0,0,"2020_07C","16_do_22_lipca_2020"
"Śląskie",0,0,0,0,0,0,0,0,"2020_07C","16_do_22_lipca_2020"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2020_07C","16_do_22_lipca_2020"
"Warmińsko-Mazurskie",6,3.31,0,0,6,100,0,0,"2020_07C","16_do_22_lipca_2020"
"Wielkopolskie",6,0.36,0,0,6,100,0,0,"2020_07C","16_do_22_lipca_2020"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2020_07C","16_do_22_lipca_2020"
"Dolnośląskie",2,0.24,0,0,2,100,0,0,"2020_07D","23_do_31_lipca_2020"
"Kujawsko-Pomorskie",4,0.4,0,0,4,100,0,0,"2020_07D","23_do_31_lipca_2020"
"Lubelskie",0,0,0,0,0,0,0,0,"2020_07D","23_do_31_lipca_2020"
"Lubuskie",0,0,0,0,0,0,0,0,"2020_07D","23_do_31_lipca_2020"
"Łódzkie",2,0.47,0,0,2,100,0,0,"2020_07D","23_do_31_lipca_2020"
"Małopolskie",3,0.4,0,0,1,33.3,2,66.7,"2020_07D","23_do_31_lipca_2020"
"Mazowieckie",6,0.25,5,83.3,1,16.7,1,16.7,"2020_07D","23_do_31_lipca_2020"
"Opolskie",0,0,0,0,0,0,0,0,"2020_07D","23_do_31_lipca_2020"
"Podkarpackie",1,0.82,0,0,0,0,1,100,"2020_07D","23_do_31_lipca_2020"
"Podlaskie",0,0,0,0,0,0,0,0,"2020_07D","23_do_31_lipca_2020"
"Pomorskie",10,0.27,0,0,10,100,2,20,"2020_07D","23_do_31_lipca_2020"
"Śląskie",1,0.07,0,0,1,100,0,0,"2020_07D","23_do_31_lipca_2020"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2020_07D","23_do_31_lipca_2020"
"Warmińsko-Mazurskie",5,2.67,0,0,5,100,0,0,"2020_07D","23_do_31_lipca_2020"
"Wielkopolskie",23,0.75,0,0,22,95.7,1,4.3,"2020_07D","23_do_31_lipca_2020"
"Zachodniopomorskie",1,0.53,0,0,1,100,0,0,"2020_07D","23_do_31_lipca_2020"
"Dolnośląskie",2,0.2,0,0,2,100,0,0,"2020_08A","1_do_7_sierpnia_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2020_08A","1_do_7_sierpnia_2020"
"Lubelskie",2,0.27,0,0,1,50,1,50,"2020_08A","1_do_7_sierpnia_2020"
"Lubuskie",1,0.61,0,0,1,100,0,0,"2020_08A","1_do_7_sierpnia_2020"
"Łódzkie",0,0,0,0,0,0,0,0,"2020_08A","1_do_7_sierpnia_2020"
"Małopolskie",2,0.27,0,0,1,50,1,50,"2020_08A","1_do_7_sierpnia_2020"
"Mazowieckie",8,0.29,1,12.5,7,87.5,1,12.5,"2020_08A","1_do_7_sierpnia_2020"
"Opolskie",0,0,0,0,0,0,0,0,"2020_08A","1_do_7_sierpnia_2020"
"Podkarpackie",0,0,0,0,0,0,0,0,"2020_08A","1_do_7_sierpnia_2020"
"Podlaskie",0,0,0,0,0,0,0,0,"2020_08A","1_do_7_sierpnia_2020"
"Pomorskie",8,0.23,0,0,8,100,0,0,"2020_08A","1_do_7_sierpnia_2020"
"Śląskie",4,0.29,0,0,4,100,0,0,"2020_08A","1_do_7_sierpnia_2020"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2020_08A","1_do_7_sierpnia_2020"
"Warmińsko-Mazurskie",11,4.8,0,0,11,100,0,0,"2020_08A","1_do_7_sierpnia_2020"
"Wielkopolskie",9,0.37,0,0,9,100,0,0,"2020_08A","1_do_7_sierpnia_2020"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2020_08A","1_do_7_sierpnia_2020"
"Dolnośląskie",1,0.12,0,0,1,100,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Kujawsko-Pomorskie",1,0.09,0,0,1,100,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Lubelskie",2,0.65,0,0,2,100,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Lubuskie",0,0,0,0,0,0,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Łódzkie",2,0.39,0,0,2,100,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Małopolskie",0,0,0,0,0,0,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Mazowieckie",8,0.33,0,0,6,75,2,25,"2020_08B","8_do_15_sierpnia_2020"
"Opolskie",0,0,0,0,0,0,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Podkarpackie",0,0,0,0,0,0,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Podlaskie",0,0,0,0,0,0,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Pomorskie",5,0.15,0,0,5,100,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Śląskie",1,0.07,0,0,1,100,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Warmińsko-Mazurskie",17,6.34,0,0,17,100,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Wielkopolskie",13,0.47,0,0,13,100,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2020_08B","8_do_15_sierpnia_2020"
"Dolnośląskie",0,0,0,0,0,0,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Kujawsko-Pomorskie",1,0.07,0,0,1,100,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Lubelskie",14,4.96,0,0,14,100,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Lubuskie",0,0,0,0,0,0,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Łódzkie",0,0,0,0,0,0,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Małopolskie",2,0.15,0,0,0,0,2,100,"2020_08C","16_do_22_sierpnia_2020"
"Mazowieckie",2,0.15,0,0,0,0,2,100,"2020_08C","16_do_22_sierpnia_2020"
"Opolskie",0,0,0,0,0,0,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Podkarpackie",0,0,0,0,0,0,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Podlaskie",1,0.37,0,0,1,100,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Pomorskie",9,0.2,0,0,9,100,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Śląskie",3,0.21,0,0,3,100,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Warmińsko-Mazurskie",7,2.24,0,0,7,100,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Wielkopolskie",9,0.32,0,0,9,100,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2020_08C","16_do_22_sierpnia_2020"
"Dolnośląskie",4,0.28,1,25,4,100,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Kujawsko-Pomorskie",1,0.06,0,0,1,100,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Lubelskie",0,0,0,0,0,0,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Lubuskie",0,0,0,0,0,0,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Łódzkie",2,0.15,0,0,2,100,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Małopolskie",2,0.13,0,0,2,100,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Mazowieckie",6,0.14,3,50,3,50,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Opolskie",0,0,0,0,0,0,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Podkarpackie",0,0,0,0,0,0,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Podlaskie",8,0.98,0,0,8,100,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Pomorskie",21,0.39,0,0,21,100,3,14.3,"2020_08D","23_do_31_sierpnia_2020"
"Śląskie",3,0.13,0,0,3,100,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Warmińsko-Mazurskie",13,3.89,0,0,13,100,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Wielkopolskie",16,0.34,0,0,14,87.5,2,12.5,"2020_08D","23_do_31_sierpnia_2020"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2020_08D","23_do_31_sierpnia_2020"
"Dolnośląskie",1,0.07,0,0,1,100,0,0,"2020_09A","1_do_7_września_2020"
"Kujawsko-Pomorskie",3,0.15,0,0,3,100,0,0,"2020_09A","1_do_7_września_2020"
"Lubelskie",1,0.1,0,0,1,100,0,0,"2020_09A","1_do_7_września_2020"
"Lubuskie",0,0,0,0,0,0,0,0,"2020_09A","1_do_7_września_2020"
"Łódzkie",0,0,0,0,0,0,0,0,"2020_09A","1_do_7_września_2020"
"Małopolskie",8,0.48,0,0,1,12.5,7,87.5,"2020_09A","1_do_7_września_2020"
"Mazowieckie",21,0.41,5,23.8,13,61.9,3,14.3,"2020_09A","1_do_7_września_2020"
"Opolskie",0,0,0,0,0,0,0,0,"2020_09A","1_do_7_września_2020"
"Podkarpackie",0,0,0,0,0,0,0,0,"2020_09A","1_do_7_września_2020"
"Podlaskie",3,1.2,0,0,3,100,0,0,"2020_09A","1_do_7_września_2020"
"Pomorskie",26,0.5,0,0,26,100,5,19.2,"2020_09A","1_do_7_września_2020"
"Śląskie",5,0.27,0,0,5,100,0,0,"2020_09A","1_do_7_września_2020"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2020_09A","1_do_7_września_2020"
"Warmińsko-Mazurskie",19,2.91,0,0,19,100,0,0,"2020_09A","1_do_7_września_2020"
"Wielkopolskie",16,0.36,0,0,14,87.5,2,12.5,"2020_09A","1_do_7_września_2020"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2020_09A","1_do_7_września_2020"
"Dolnośląskie",7,0.23,0,0,7,100,0,0,"2020_09B","8_do_15_września_2020"
"Kujawsko-Pomorskie",1,0.02,0,0,1,100,0,0,"2020_09B","8_do_15_września_2020"
"Lubelskie",0,0,0,0,0,0,0,0,"2020_09B","8_do_15_września_2020"
"Lubuskie",0,0,0,0,0,0,0,0,"2020_09B","8_do_15_września_2020"
"Łódzkie",0,0,0,0,0,0,0,0,"2020_09B","8_do_15_września_2020"
"Małopolskie",4,0.14,0,0,4,100,0,0,"2020_09B","8_do_15_września_2020"
"Mazowieckie",38,0.4,2,5.3,28,73.7,8,21.1,"2020_09B","8_do_15_września_2020"
"Opolskie",21,2.64,0,0,21,100,0,0,"2020_09B","8_do_15_września_2020"
"Podkarpackie",0,0,0,0,0,0,0,0,"2020_09B","8_do_15_września_2020"
"Podlaskie",1,0.16,0,0,1,100,0,0,"2020_09B","8_do_15_września_2020"
"Pomorskie",21,0.19,0,0,21,100,0,0,"2020_09B","8_do_15_września_2020"
"Śląskie",10,0.22,0,0,10,100,0,0,"2020_09B","8_do_15_września_2020"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2020_09B","8_do_15_września_2020"
"Warmińsko-Mazurskie",20,2.23,0,0,20,100,0,0,"2020_09B","8_do_15_września_2020"
"Wielkopolskie",19,0.19,0,0,18,94.7,1,5.3,"2020_09B","8_do_15_września_2020"
"Zachodniopomorskie",2,0.24,0,0,2,100,0,0,"2020_09B","8_do_15_września_2020"
"Dolnośląskie",9,0.31,0,0,7,77.8,2,22.2,"2020_09C","16_do_22_września_2020"
"Kujawsko-Pomorskie",7,0.2,0,0,7,100,0,0,"2020_09C","16_do_22_września_2020"
"Lubelskie",4,0.32,0,0,4,100,0,0,"2020_09C","16_do_22_września_2020"
"Lubuskie",0,0,0,0,0,0,0,0,"2020_09C","16_do_22_września_2020"
"Łódzkie",3,0.17,0,0,3,100,0,0,"2020_09C","16_do_22_września_2020"
"Małopolskie",2,0.1,0,0,2,100,0,0,"2020_09C","16_do_22_września_2020"
"Mazowieckie",21,0.18,2,9.5,18,85.7,1,4.8,"2020_09C","16_do_22_września_2020"
"Opolskie",1,0.13,0,0,1,100,0,0,"2020_09C","16_do_22_września_2020"
"Podkarpackie",1,0.25,0,0,1,100,0,0,"2020_09C","16_do_22_września_2020"
"Podlaskie",2,0.29,0,0,2,100,0,0,"2020_09C","16_do_22_września_2020"
"Pomorskie",12,0.1,0,0,12,100,0,0,"2020_09C","16_do_22_września_2020"
"Śląskie",9,0.14,0,0,9,100,0,0,"2020_09C","16_do_22_września_2020"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2020_09C","16_do_22_września_2020"
"Warmińsko-Mazurskie",1,0.1,0,0,1,100,0,0,"2020_09C","16_do_22_września_2020"
"Wielkopolskie",20,0.23,0,0,18,90,2,10,"2020_09C","16_do_22_września_2020"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2020_09C","16_do_22_września_2020"
"Dolnośląskie",11,0.35,0,0,9,81.8,2,18.2,"2020_09D","23_do_30_września_2020"
"Kujawsko-Pomorskie",8,0.2,0,0,8,100,0,0,"2020_09D","23_do_30_września_2020"
"Lubelskie",0,0,0,0,0,0,0,0,"2020_09D","23_do_30_września_2020"
"Lubuskie",1,0.15,0,0,1,100,0,0,"2020_09D","23_do_30_września_2020"
"Łódzkie",6,0.42,0,0,6,100,0,0,"2020_09D","23_do_30_września_2020"
"Małopolskie",8,0.19,0,0,8,100,0,0,"2020_09D","23_do_30_września_2020"
"Mazowieckie",19,0.15,1,5.3,18,94.7,0,0,"2020_09D","23_do_30_września_2020"
"Opolskie",0,0,0,0,0,0,0,0,"2020_09D","23_do_30_września_2020"
"Podkarpackie",4,0.74,0,0,4,100,0,0,"2020_09D","23_do_30_września_2020"
"Podlaskie",0,0,0,0,0,0,0,0,"2020_09D","23_do_30_września_2020"
"Pomorskie",20,0.19,0,0,20,100,0,0,"2020_09D","23_do_30_września_2020"
"Śląskie",2,0.04,0,0,2,100,0,0,"2020_09D","23_do_30_września_2020"
"Świętokrzyskie",1,0.15,0,0,1,100,0,0,"2020_09D","23_do_30_września_2020"
"Warmińsko-Mazurskie",5,0.39,0,0,5,100,0,0,"2020_09D","23_do_30_września_2020"
"Wielkopolskie",7,0.06,0,0,7,100,0,0,"2020_09D","23_do_30_września_2020"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2020_09D","23_do_30_września_2020"
