"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","tydz","data"
"Mazowieckie",15643,41.3,-11.19,2284,109.24,2875,69.97,9174,36.84,1310,19.33,"2020_03C","16_do_22_marca_2020"
"Opolskie",1441,20.91,-1.22,219,72.68,230,36.96,838,17.87,154,12.06,"2020_03C","16_do_22_marca_2020"
"Podkarpackie",2700,18.13,-8.57,347,47.72,554,36.19,1450,14.28,349,14.07,"2020_03C","16_do_22_marca_2020"
"Podlaskie",2440,29.55,-19.25,401,100.43,381,47.23,1315,23.47,343,23.71,"2020_03C","16_do_22_marca_2020"
"Pomorskie",15722,96.07,-27.18,2240,244.96,2332,127.58,10044,92.16,1106,40.61,"2020_03C","16_do_22_marca_2020"
"Śląskie",10932,34.52,-10.5,1676,112.77,2116,68.14,6269,29.72,871,14.56,"2020_03C","16_do_22_marca_2020"
"Świętokrzyskie",1075,12.41,-44.74,155,41.92,258,31.4,565,9.75,97,5.78,"2020_03C","16_do_22_marca_2020"
"Warmińsko-Mazurskie",3787,37.94,-12.44,529,111.56,587,55.61,2153,31.52,518,31.96,"2020_03C","16_do_22_marca_2020"
"Wielkopolskie",18442,75.37,-15.28,2245,168.19,2719,100.76,11938,72.84,1540,38.05,"2020_03C","16_do_22_marca_2020"
"Zachodniopomorskie",2951,24.82,-0.82,424,78.48,649,54.78,1634,20.39,244,11.35,"2020_03C","16_do_22_marca_2020"
"Dolnośląskie",7006,26.84,0.71,995,80.38,971,38.01,4345,24.93,695,14.24,"2020_03D","23_do_31_marca_2020"
"Kujawsko-Pomorskie",5367,28.75,-10.87,614,69.19,653,33.68,3604,28.62,496,15.25,"2020_03D","23_do_31_marca_2020"
"Lubelskie",3168,16.66,-11.75,356,40.24,423,22.13,2106,16.53,283,8.14,"2020_03D","23_do_31_marca_2020"
"Lubuskie",883,9.68,-7.04,95,21.89,119,12.39,586,9.53,83,5.28,"2020_03D","23_do_31_marca_2020"
"Łódzkie",4484,20.25,-21.17,515,50.74,556,25.76,2685,18.41,728,16.59,"2020_03D","23_do_31_marca_2020"
"Małopolskie",8034,26.22,-18.14,1056,63.66,931,28.5,5356,26.04,691,13.42,"2020_03D","23_do_31_marca_2020"
"Mazowieckie",16737,34.37,-6.93,2013,74.88,2170,41.08,11129,34.76,1425,16.35,"2020_03D","23_do_31_marca_2020"
"Opolskie",1327,14.98,-5.93,140,36.14,146,18.25,921,15.27,120,7.31,"2020_03D","23_do_31_marca_2020"
"Podkarpackie",2003,10.46,-7.67,201,21.5,202,10.26,1378,10.56,222,6.96,"2020_03D","23_do_31_marca_2020"
"Podlaskie",1618,15.24,-14.31,166,32.33,185,17.84,1111,15.42,156,8.39,"2020_03D","23_do_31_marca_2020"
"Pomorskie",17509,83.22,-12.86,2234,190.02,2130,90.64,11738,83.77,1407,40.18,"2020_03D","23_do_31_marca_2020"
"Śląskie",9967,24.48,-10.04,1011,52.91,1207,30.23,7003,25.82,746,9.7,"2020_03D","23_do_31_marca_2020"
"Świętokrzyskie",5277,47.39,34.97,691,145.34,1007,95.32,3150,42.29,429,19.89,"2020_03D","23_do_31_marca_2020"
"Warmińsko-Mazurskie",2816,21.94,-16,214,35.1,347,25.57,1859,21.17,396,19,"2020_03D","23_do_31_marca_2020"
"Wielkopolskie",14358,45.64,-29.73,1431,83.38,1633,47.07,9916,47.06,1378,26.48,"2020_03D","23_do_31_marca_2020"
"Zachodniopomorskie",1718,11.24,-13.58,125,18,179,11.75,1239,12.02,175,6.33,"2020_03D","23_do_31_marca_2020"
"Dolnośląskie",2024,9.97,-17.11,147,15.27,181,9.11,1448,10.68,248,6.53,"2020_04A","1_do_7_kwietnia_2020"
"Kujawsko-Pomorskie",2332,16.06,-12.69,258,37.38,300,19.9,1542,15.74,232,9.17,"2020_04A","1_do_7_kwietnia_2020"
"Lubelskie",1508,10.2,-6.47,164,23.84,152,10.22,1063,10.73,129,4.77,"2020_04A","1_do_7_kwietnia_2020"
"Lubuskie",469,6.61,-3.07,58,17.18,61,8.16,285,5.96,65,5.31,"2020_04A","1_do_7_kwietnia_2020"
"Łódzkie",2746,15.95,-4.31,257,32.55,356,21.2,1882,16.6,251,7.36,"2020_04A","1_do_7_kwietnia_2020"
"Małopolskie",2677,11.23,-14.99,201,15.58,240,9.44,1988,12.43,248,6.19,"2020_04A","1_do_7_kwietnia_2020"
"Mazowieckie",9195,24.27,-10.09,740,35.39,904,22,6588,26.45,963,14.21,"2020_04A","1_do_7_kwietnia_2020"
"Opolskie",588,8.53,-6.45,43,14.27,51,8.19,431,9.19,63,4.94,"2020_04A","1_do_7_kwietnia_2020"
"Podkarpackie",797,5.35,-5.16,78,10.73,88,5.75,562,5.54,69,2.78,"2020_04A","1_do_7_kwietnia_2020"
"Podlaskie",670,8.12,-7.13,58,14.53,47,5.83,484,8.64,81,5.6,"2020_04A","1_do_7_kwietnia_2020"
"Pomorskie",14031,85.74,2.52,967,105.75,999,54.66,7093,65.08,4972,182.55,"2020_04A","1_do_7_kwietnia_2020"
"Śląskie",5523,17.44,-7.04,488,32.84,616,19.84,3907,18.52,512,8.56,"2020_04A","1_do_7_kwietnia_2020"
"Świętokrzyskie",1250,14.43,-32.95,169,45.7,214,26.05,758,13.09,109,6.5,"2020_04A","1_do_7_kwietnia_2020"
"Warmińsko-Mazurskie",1145,11.47,-10.47,121,25.52,98,9.28,766,11.21,160,9.87,"2020_04A","1_do_7_kwietnia_2020"
"Wielkopolskie",7801,31.88,-13.76,737,55.21,925,34.28,5297,32.32,842,20.81,"2020_04A","1_do_7_kwietnia_2020"
"Zachodniopomorskie",812,6.83,-4.41,41,7.59,73,6.16,617,7.7,81,3.77,"2020_04A","1_do_7_kwietnia_2020"
"Dolnośląskie",1591,6.86,-3.11,160,14.54,129,5.68,1130,7.29,172,3.96,"2020_04B","8_do_15_kwietnia_2020"
"Kujawsko-Pomorskie",1374,8.28,-7.78,190,24.09,193,11.2,834,7.45,157,5.43,"2020_04B","8_do_15_kwietnia_2020"
"Lubelskie",757,4.48,-5.72,87,11.06,86,5.06,514,4.54,70,2.26,"2020_04B","8_do_15_kwietnia_2020"
"Lubuskie",199,2.46,-4.16,34,8.81,26,3.04,123,2.25,16,1.14,"2020_04B","8_do_15_kwietnia_2020"
"Łódzkie",1550,7.88,-8.07,128,14.19,176,9.17,978,7.55,268,6.87,"2020_04B","8_do_15_kwietnia_2020"
"Małopolskie",2514,9.23,-2,220,14.92,249,8.57,1751,9.58,294,6.42,"2020_04B","8_do_15_kwietnia_2020"
"Mazowieckie",8049,18.59,-5.68,718,30.05,886,18.87,5509,19.36,936,12.09,"2020_04B","8_do_15_kwietnia_2020"
"Opolskie",350,4.44,-4.09,35,10.16,36,5.06,219,4.09,60,4.11,"2020_04B","8_do_15_kwietnia_2020"
"Podkarpackie",421,2.47,-2.88,50,6.02,48,2.74,281,2.42,42,1.48,"2020_04B","8_do_15_kwietnia_2020"
"Podlaskie",164,1.74,-6.38,9,1.97,14,1.52,107,1.67,34,2.06,"2020_04B","8_do_15_kwietnia_2020"
"Pomorskie",5781,30.91,-54.83,574,54.93,497,23.79,4143,33.26,567,18.22,"2020_04B","8_do_15_kwietnia_2020"
"Śląskie",4754,13.14,-4.3,516,30.38,569,16.03,3231,13.4,438,6.41,"2020_04B","8_do_15_kwietnia_2020"
"Świętokrzyskie",1137,11.49,-2.95,126,29.81,131,13.95,764,11.54,116,6.05,"2020_04B","8_do_15_kwietnia_2020"
"Warmińsko-Mazurskie",730,6.4,-5.07,131,24.17,83,6.88,411,5.26,105,5.67,"2020_04B","8_do_15_kwietnia_2020"
"Wielkopolskie",5584,19.97,-11.91,450,29.5,662,21.47,3802,20.3,670,14.49,"2020_04B","8_do_15_kwietnia_2020"
"Zachodniopomorskie",445,3.28,-3.55,28,4.54,62,4.58,302,3.3,53,2.16,"2020_04B","8_do_15_kwietnia_2020"
"Dolnośląskie",1499,7.38,0.53,125,12.98,145,7.3,999,7.37,230,6.06,"2020_04C","16_do_22_kwietnia_2020"
"Kujawsko-Pomorskie",997,6.87,-1.41,154,22.31,145,9.62,553,5.65,145,5.73,"2020_04C","16_do_22_kwietnia_2020"
"Lubelskie",737,4.98,0.5,70,10.17,72,4.84,505,5.1,90,3.33,"2020_04C","16_do_22_kwietnia_2020"
"Lubuskie",161,2.27,-0.19,23,6.81,13,1.74,103,2.15,22,1.8,"2020_04C","16_do_22_kwietnia_2020"
"Łódzkie",1121,6.51,-1.37,93,11.78,115,6.85,753,6.64,160,4.69,"2020_04C","16_do_22_kwietnia_2020"
"Małopolskie",2345,9.84,0.61,265,20.54,285,11.22,1539,9.62,256,6.39,"2020_04C","16_do_22_kwietnia_2020"
"Mazowieckie",4119,10.87,-7.72,393,18.8,459,11.17,2732,10.97,535,7.89,"2020_04C","16_do_22_kwietnia_2020"
"Opolskie",307,4.46,0.01,22,7.3,19,3.05,217,4.63,49,3.84,"2020_04C","16_do_22_kwietnia_2020"
"Podkarpackie",413,2.77,0.3,33,4.54,62,4.05,261,2.57,57,2.3,"2020_04C","16_do_22_kwietnia_2020"
"Podlaskie",185,2.24,0.5,23,5.76,22,2.73,118,2.11,22,1.52,"2020_04C","16_do_22_kwietnia_2020"
"Pomorskie",3778,23.09,-7.82,435,47.57,393,21.5,2521,23.13,429,15.75,"2020_04C","16_do_22_kwietnia_2020"
"Śląskie",3130,9.88,-3.25,329,22.14,381,12.27,2065,9.79,355,5.94,"2020_04C","16_do_22_kwietnia_2020"
"Świętokrzyskie",390,4.5,-6.98,33,8.92,43,5.23,266,4.59,48,2.86,"2020_04C","16_do_22_kwietnia_2020"
"Warmińsko-Mazurskie",616,6.17,-0.23,78,16.45,86,8.15,303,4.44,149,9.19,"2020_04C","16_do_22_kwietnia_2020"
"Wielkopolskie",3996,16.33,-3.64,327,24.5,502,18.6,2609,15.92,558,13.79,"2020_04C","16_do_22_kwietnia_2020"
"Zachodniopomorskie",227,1.91,-1.37,5,0.93,21,1.77,171,2.13,30,1.4,"2020_04C","16_do_22_kwietnia_2020"
"Dolnośląskie",1136,4.9,-2.49,116,10.54,102,4.49,717,4.63,201,4.63,"2020_04D","23_do_30_kwietnia_2020"
"Kujawsko-Pomorskie",1050,6.33,-0.54,165,20.92,157,9.11,592,5.29,136,4.71,"2020_04D","23_do_30_kwietnia_2020"
"Lubelskie",418,2.47,-2.51,48,6.1,37,2.18,282,2.49,51,1.65,"2020_04D","23_do_30_kwietnia_2020"
"Lubuskie",143,1.76,-0.51,17,4.41,17,1.99,89,1.63,20,1.43,"2020_04D","23_do_30_kwietnia_2020"
"Łódzkie",629,3.2,-3.31,68,7.54,64,3.34,400,3.09,97,2.49,"2020_04D","23_do_30_kwietnia_2020"
"Małopolskie",2292,8.41,-1.42,308,20.89,357,12.29,1384,7.57,243,5.31,"2020_04D","23_do_30_kwietnia_2020"
"Mazowieckie",3113,7.19,-3.68,364,15.23,453,9.65,1882,6.61,414,5.35,"2020_04D","23_do_30_kwietnia_2020"
"Opolskie",164,2.08,-2.37,10,2.9,21,2.95,102,1.9,31,2.12,"2020_04D","23_do_30_kwietnia_2020"
"Podkarpackie",256,1.5,-1.27,31,3.73,44,2.52,142,1.22,39,1.38,"2020_04D","23_do_30_kwietnia_2020"
"Podlaskie",141,1.49,-0.75,10,2.19,9,0.98,98,1.53,24,1.45,"2020_04D","23_do_30_kwietnia_2020"
"Pomorskie",2744,14.67,-8.41,379,36.27,287,13.74,1681,13.5,397,12.75,"2020_04D","23_do_30_kwietnia_2020"
"Śląskie",2169,5.99,-3.89,159,9.36,216,6.09,1515,6.28,279,4.08,"2020_04D","23_do_30_kwietnia_2020"
"Świętokrzyskie",473,4.78,0.28,54,12.78,86,9.16,292,4.41,41,2.14,"2020_04D","23_do_30_kwietnia_2020"
"Warmińsko-Mazurskie",284,2.49,-3.68,47,8.67,35,2.9,157,2.01,45,2.43,"2020_04D","23_do_30_kwietnia_2020"
"Wielkopolskie",4240,15.16,-1.17,447,29.3,508,16.47,2662,14.21,623,13.47,"2020_04D","23_do_30_kwietnia_2020"
"Zachodniopomorskie",289,2.13,0.22,19,3.08,24,1.77,202,2.21,44,1.79,"2020_04D","23_do_30_kwietnia_2020"
"Dolnośląskie",661,3.26,-1.9,61,6.34,71,3.57,397,2.93,132,3.48,"2020_05A","1_do_7_maja_2020"
"Kujawsko-Pomorskie",577,3.97,-2.36,88,12.75,78,5.17,330,3.37,81,3.2,"2020_05A","1_do_7_maja_2020"
"Lubelskie",282,1.91,-0.57,23,3.34,16,1.08,195,1.97,48,1.77,"2020_05A","1_do_7_maja_2020"
"Lubuskie",94,1.33,-0.44,14,4.15,17,2.28,54,1.13,9,0.74,"2020_05A","1_do_7_maja_2020"
"Łódzkie",648,3.76,0.57,86,10.89,67,3.99,366,3.23,129,3.78,"2020_05A","1_do_7_maja_2020"
"Małopolskie",736,3.09,-5.33,83,6.43,97,3.82,458,2.86,98,2.45,"2020_05A","1_do_7_maja_2020"
"Mazowieckie",4734,12.5,5.31,582,27.84,693,16.87,2738,10.99,721,10.64,"2020_05A","1_do_7_maja_2020"
"Opolskie",163,2.37,0.28,26,8.63,19,3.05,89,1.9,29,2.27,"2020_05A","1_do_7_maja_2020"
"Podkarpackie",171,1.15,-0.36,22,3.03,21,1.37,93,0.92,35,1.41,"2020_05A","1_do_7_maja_2020"
"Podlaskie",168,2.03,0.54,12,3.01,19,2.36,105,1.87,32,2.21,"2020_05A","1_do_7_maja_2020"
"Pomorskie",2121,12.96,-1.71,239,26.14,278,15.21,1300,11.93,304,11.16,"2020_05A","1_do_7_maja_2020"
"Śląskie",1600,5.05,-0.94,115,7.74,154,4.96,1134,5.38,197,3.29,"2020_05A","1_do_7_maja_2020"
"Świętokrzyskie",555,6.41,1.63,54,14.6,67,8.15,354,6.11,80,4.77,"2020_05A","1_do_7_maja_2020"
"Warmińsko-Mazurskie",199,1.99,-0.5,27,5.69,33,3.13,95,1.39,44,2.71,"2020_05A","1_do_7_maja_2020"
"Wielkopolskie",1612,6.59,-8.57,188,14.08,227,8.41,997,6.08,200,4.94,"2020_05A","1_do_7_maja_2020"
"Zachodniopomorskie",120,1.01,-1.12,10,1.85,16,1.35,82,1.02,12,0.56,"2020_05A","1_do_7_maja_2020"
"Dolnośląskie",777,3.35,0.09,64,5.82,87,3.83,474,3.06,152,3.5,"2020_05B","8_do_15_maja_2020"
"Kujawsko-Pomorskie",706,4.25,0.28,121,15.34,104,6.03,385,3.44,96,3.32,"2020_05B","8_do_15_maja_2020"
"Lubelskie",296,1.75,-0.16,50,6.36,28,1.65,172,1.52,46,1.49,"2020_05B","8_do_15_maja_2020"
"Lubuskie",98,1.21,-0.12,18,4.67,16,1.87,53,0.97,11,0.79,"2020_05B","8_do_15_maja_2020"
"Łódzkie",505,2.57,-1.2,71,7.87,69,3.6,282,2.18,83,2.13,"2020_05B","8_do_15_maja_2020"
"Małopolskie",802,2.94,-0.14,120,8.14,108,3.72,462,2.53,112,2.45,"2020_05B","8_do_15_maja_2020"
"Mazowieckie",2457,5.68,-6.82,316,13.22,317,6.75,1443,5.07,381,4.92,"2020_05B","8_do_15_maja_2020"
"Opolskie",154,1.96,-0.41,21,6.1,12,1.69,94,1.75,27,1.85,"2020_05B","8_do_15_maja_2020"
"Podkarpackie",156,0.92,-0.23,17,2.05,10,0.57,90,0.78,39,1.38,"2020_05B","8_do_15_maja_2020"
"Podlaskie",77,0.82,-1.22,8,1.75,8,0.87,46,0.72,15,0.91,"2020_05B","8_do_15_maja_2020"
"Pomorskie",2828,15.12,2.16,346,33.11,337,16.13,1768,14.19,377,12.11,"2020_05B","8_do_15_maja_2020"
"Śląskie",3565,9.85,4.8,698,41.09,925,26.07,1665,6.91,277,4.05,"2020_05B","8_do_15_maja_2020"
"Świętokrzyskie",181,1.83,-4.58,26,6.15,19,2.02,115,1.74,21,1.1,"2020_05B","8_do_15_maja_2020"
"Warmińsko-Mazurskie",206,1.81,-0.19,19,3.51,34,2.82,112,1.43,41,2.21,"2020_05B","8_do_15_maja_2020"
"Wielkopolskie",2265,8.1,1.51,250,16.39,289,9.37,1318,7.04,408,8.82,"2020_05B","8_do_15_maja_2020"
"Zachodniopomorskie",136,1,-0.01,19,3.08,9,0.66,91,0.99,17,0.69,"2020_05B","8_do_15_maja_2020"
"Dolnośląskie",632,3.11,-0.24,55,5.71,44,2.21,384,2.83,149,3.92,"2020_05C","16_do_22_maja_2020"
"Kujawsko-Pomorskie",574,3.95,-0.3,90,13.04,71,4.71,320,3.27,93,3.68,"2020_05C","16_do_22_maja_2020"
"Lubelskie",277,1.87,0.12,38,5.52,26,1.75,175,1.77,38,1.41,"2020_05C","16_do_22_maja_2020"
"Lubuskie",78,1.1,-0.11,12,3.56,14,1.87,47,0.98,5,0.41,"2020_05C","16_do_22_maja_2020"
"Łódzkie",253,1.47,-1.1,38,4.81,38,2.26,146,1.29,31,0.91,"2020_05C","16_do_22_maja_2020"
"Małopolskie",588,2.47,-0.48,91,7.05,50,1.97,337,2.11,110,2.75,"2020_05C","16_do_22_maja_2020"
"Mazowieckie",2394,6.32,0.64,289,13.82,333,8.1,1409,5.66,363,5.36,"2020_05C","16_do_22_maja_2020"
"Opolskie",307,4.46,2.5,22,7.3,19,3.05,217,4.63,49,3.84,"2020_05C","16_do_22_maja_2020"
"Podkarpackie",105,0.71,-0.21,13,1.79,14,0.91,48,0.47,30,1.21,"2020_05C","16_do_22_maja_2020"
"Podlaskie",49,0.59,-0.22,4,1,3,0.37,32,0.57,10,0.69,"2020_05C","16_do_22_maja_2020"
"Pomorskie",1973,12.06,-3.06,298,32.59,206,11.27,1212,11.12,257,9.44,"2020_05C","16_do_22_maja_2020"
"Śląskie",993,3.14,-6.71,62,4.17,73,2.35,689,3.27,169,2.83,"2020_05C","16_do_22_maja_2020"
"Świętokrzyskie",121,1.4,-0.43,16,4.33,15,1.83,75,1.29,15,0.89,"2020_05C","16_do_22_maja_2020"
"Warmińsko-Mazurskie",230,2.3,0.5,27,5.69,37,3.51,113,1.65,53,3.27,"2020_05C","16_do_22_maja_2020"
"Wielkopolskie",2102,8.59,0.49,243,18.2,263,9.75,1270,7.75,326,8.06,"2020_05C","16_do_22_maja_2020"
"Zachodniopomorskie",99,0.83,-0.17,14,2.59,14,1.18,57,0.71,14,0.65,"2020_05C","16_do_22_maja_2020"
"Dolnośląskie",778,2.98,-0.13,118,9.53,100,3.91,422,2.42,138,2.83,"2020_05D","23_do_31_maja_2020"
"Kujawsko-Pomorskie",602,3.22,-0.73,111,12.51,100,5.16,292,2.32,99,3.04,"2020_05D","23_do_31_maja_2020"
"Lubelskie",232,1.22,-0.65,33,3.73,20,1.05,139,1.09,40,1.15,"2020_05D","23_do_31_maja_2020"
"Lubuskie",97,1.06,-0.04,18,4.15,13,1.35,56,0.91,10,0.64,"2020_05D","23_do_31_maja_2020"
"Łódzkie",399,1.8,0.33,67,6.6,57,2.64,197,1.35,78,1.78,"2020_05D","23_do_31_maja_2020"
"Małopolskie",581,1.9,-0.57,74,4.46,76,2.33,351,1.71,80,1.55,"2020_05D","23_do_31_maja_2020"
"Mazowieckie",1871,3.84,-2.48,225,8.37,223,4.22,1134,3.54,289,3.32,"2020_05D","23_do_31_maja_2020"
"Opolskie",101,1.14,-3.32,12,3.1,8,1,60,0.99,21,1.28,"2020_05D","23_do_31_maja_2020"
"Podkarpackie",65,0.34,-0.37,6,0.64,6,0.3,35,0.27,18,0.56,"2020_05D","23_do_31_maja_2020"
"Podlaskie",63,0.59,0,9,1.75,10,0.96,33,0.46,11,0.59,"2020_05D","23_do_31_maja_2020"
"Pomorskie",1779,8.46,-3.6,268,22.8,200,8.51,1036,7.39,275,7.85,"2020_05D","23_do_31_maja_2020"
"Śląskie",1112,2.73,-0.4,90,4.71,89,2.23,738,2.72,195,2.54,"2020_05D","23_do_31_maja_2020"
"Świętokrzyskie",143,1.28,-0.11,18,3.79,12,1.14,88,1.18,25,1.16,"2020_05D","23_do_31_maja_2020"
"Warmińsko-Mazurskie",190,1.48,-0.82,29,4.76,11,0.81,116,1.32,34,1.63,"2020_05D","23_do_31_maja_2020"
"Wielkopolskie",1397,4.44,-4.15,205,11.95,170,4.9,831,3.94,191,3.67,"2020_05D","23_do_31_maja_2020"
"Zachodniopomorskie",126,0.82,-0.01,30,4.32,17,1.12,66,0.64,13,0.47,"2020_05D","23_do_31_maja_2020"
"Dolnośląskie",603,2.97,-0.01,42,4.36,44,2.21,359,2.65,158,4.16,"2020_06A","1_do_7_czerwca_2020"
"Kujawsko-Pomorskie",502,3.46,0.23,75,10.87,82,5.44,270,2.76,75,2.97,"2020_06A","1_do_7_czerwca_2020"
"Lubelskie",284,1.92,0.7,35,5.09,26,1.75,182,1.84,41,1.52,"2020_06A","1_do_7_czerwca_2020"
"Lubuskie",65,0.92,-0.15,15,4.44,5,0.67,39,0.82,6,0.49,"2020_06A","1_do_7_czerwca_2020"
"Łódzkie",256,1.49,-0.32,28,3.55,32,1.91,147,1.3,49,1.44,"2020_06A","1_do_7_czerwca_2020"
"Małopolskie",476,2,0.1,44,3.41,51,2.01,307,1.92,74,1.85,"2020_06A","1_do_7_czerwca_2020"
"Mazowieckie",1909,5.04,1.2,236,11.29,210,5.11,1161,4.66,302,4.46,"2020_06A","1_do_7_czerwca_2020"
"Opolskie",126,1.83,0.69,16,5.31,9,1.45,76,1.62,25,1.96,"2020_06A","1_do_7_czerwca_2020"
"Podkarpackie",46,0.31,-0.03,6,0.83,3,0.2,25,0.25,12,0.48,"2020_06A","1_do_7_czerwca_2020"
"Podlaskie",44,0.53,-0.06,9,2.25,5,0.62,24,0.43,6,0.41,"2020_06A","1_do_7_czerwca_2020"
"Pomorskie",1865,11.4,2.94,262,28.65,156,8.53,1117,10.25,330,12.12,"2020_06A","1_do_7_czerwca_2020"
"Śląskie",1056,3.33,0.6,90,6.06,105,3.38,679,3.22,182,3.04,"2020_06A","1_do_7_czerwca_2020"
"Świętokrzyskie",193,2.23,0.94,22,5.95,19,2.31,124,2.14,28,1.67,"2020_06A","1_do_7_czerwca_2020"
"Warmińsko-Mazurskie",188,1.88,0.4,28,5.9,31,2.94,93,1.36,36,2.22,"2020_06A","1_do_7_czerwca_2020"
"Wielkopolskie",1704,6.96,2.52,224,16.78,223,8.26,1029,6.28,228,5.63,"2020_06A","1_do_7_czerwca_2020"
"Zachodniopomorskie",90,0.76,-0.07,14,2.59,8,0.68,59,0.74,9,0.42,"2020_06A","1_do_7_czerwca_2020"
"Dolnośląskie",521,2.25,-0.72,48,4.36,45,1.98,316,2.04,112,2.58,"2020_06B","8_do_15_czerwca_2020"
"Kujawsko-Pomorskie",540,3.25,-0.2,125,15.85,60,3.48,285,2.55,70,2.42,"2020_06B","8_do_15_czerwca_2020"
"Lubelskie",207,1.23,-0.7,25,3.18,17,1,136,1.2,29,0.94,"2020_06B","8_do_15_czerwca_2020"
"Lubuskie",42,0.52,-0.54,6,1.56,5,0.59,22,0.4,9,0.64,"2020_06B","8_do_15_czerwca_2020"
"Łódzkie",284,1.44,-0.04,53,5.87,44,2.29,147,1.13,40,1.03,"2020_06B","8_do_15_czerwca_2020"
"Małopolskie",568,2.09,0.09,73,4.95,59,2.03,340,1.86,96,2.1,"2020_06B","8_do_15_czerwca_2020"
"Mazowieckie",1850,4.27,-0.77,289,12.09,262,5.58,1048,3.68,251,3.24,"2020_06B","8_do_15_czerwca_2020"
"Opolskie",137,1.74,-0.09,29,8.42,14,1.97,79,1.47,15,1.03,"2020_06B","8_do_15_czerwca_2020"
"Podkarpackie",80,0.47,0.16,6,0.72,7,0.4,44,0.38,23,0.81,"2020_06B","8_do_15_czerwca_2020"
"Podlaskie",67,0.71,0.18,17,3.73,6,0.65,33,0.52,11,0.67,"2020_06B","8_do_15_czerwca_2020"
"Pomorskie",1913,10.23,-1.17,283,27.08,200,9.57,1154,9.27,276,8.87,"2020_06B","8_do_15_czerwca_2020"
"Śląskie",907,2.51,-0.83,82,4.83,101,2.85,579,2.4,145,2.12,"2020_06B","8_do_15_czerwca_2020"
"Świętokrzyskie",140,1.41,-0.81,18,4.26,12,1.28,85,1.28,25,1.3,"2020_06B","8_do_15_czerwca_2020"
"Warmińsko-Mazurskie",190,1.67,-0.22,35,6.46,31,2.57,87,1.11,37,2,"2020_06B","8_do_15_czerwca_2020"
"Wielkopolskie",1352,4.83,-2.13,161,10.55,187,6.06,788,4.21,216,4.67,"2020_06B","8_do_15_czerwca_2020"
"Zachodniopomorskie",67,0.49,-0.26,9,1.46,7,0.52,44,0.48,7,0.29,"2020_06B","8_do_15_czerwca_2020"
